"Extracted from the UNHCR Population Statistics Reference Database","United Nations High Commissioner for Refugees"
"Date extracted: 2019-12-27 20:51:18 +01:00"

Year,"Country / territory of asylum/residence",Origin,"Population type",Value
1998,Kazakhstan,Afghanistan,"Refugees (incl. refugee-like situations)",2081
1998,Kyrgyzstan,Afghanistan,"Refugees (incl. refugee-like situations)",568
1998,Cambodia,Afghanistan,"Refugees (incl. refugee-like situations)",4
1998,"Rep. of Korea",Afghanistan,"Refugees (incl. refugee-like situations)",1
1998,Kuwait,Afghanistan,"Refugees (incl. refugee-like situations)",52
1998,Lebanon,Afghanistan,"Refugees (incl. refugee-like situations)",550
1998,"Sri Lanka",Afghanistan,"Refugees (incl. refugee-like situations)",9
1998,Lithuania,Afghanistan,"Refugees (incl. refugee-like situations)",25
1998,Mexico,Afghanistan,"Refugees (incl. refugee-like situations)",4
1998,Malaysia,Afghanistan,"Refugees (incl. refugee-like situations)",66
1998,Netherlands,Afghanistan,"Refugees (incl. refugee-like situations)",15958
1998,Norway,Afghanistan,"Refugees (incl. refugee-like situations)",158
1998,Nepal,Afghanistan,"Refugees (incl. refugee-like situations)",3
1998,"New Zealand",Afghanistan,"Refugees (incl. refugee-like situations)",5
1998,Pakistan,Afghanistan,"Refugees (incl. refugee-like situations)",1200000
1998,Philippines,Afghanistan,"Refugees (incl. refugee-like situations)",6
1998,Poland,Afghanistan,"Refugees (incl. refugee-like situations)",47
1998,Romania,Afghanistan,"Refugees (incl. refugee-like situations)",75
1998,"Russian Federation",Afghanistan,"Refugees (incl. refugee-like situations)",376
1998,"Saudi Arabia",Afghanistan,"Refugees (incl. refugee-like situations)",157
1998,"Serbia and Kosovo (S/RES/1244 (1999))",Afghanistan,"Refugees (incl. refugee-like situations)",1
1998,Slovakia,Afghanistan,"Refugees (incl. refugee-like situations)",157
1998,Sweden,Afghanistan,"Refugees (incl. refugee-like situations)",1443
1998,"Syrian Arab Rep.",Afghanistan,"Refugees (incl. refugee-like situations)",6
1998,Thailand,Afghanistan,"Refugees (incl. refugee-like situations)",27
1998,Tajikistan,Afghanistan,"Refugees (incl. refugee-like situations)",3622
1998,Turkmenistan,Afghanistan,"Refugees (incl. refugee-like situations)",1115
1998,Turkey,Afghanistan,"Refugees (incl. refugee-like situations)",21
1998,Ukraine,Afghanistan,"Refugees (incl. refugee-like situations)",3829
1998,"United States of America",Afghanistan,"Refugees (incl. refugee-like situations)",1872
1998,Uzbekistan,Afghanistan,"Refugees (incl. refugee-like situations)",1061
1998,Zimbabwe,Afghanistan,"Refugees (incl. refugee-like situations)",23
